wl(nm)  cal_pd_sens(A/W)  cal_QE  pd_ratio  mon_pd_charge(pC) cal_pd_charge(pC)
490.0      0.25133        0.000   3.167989     3.1680e+00       1.0000e+00
495.0      0.25515        0.000   3.177414     3.1774e+00       1.0000e+00
500.0      0.25900        0.000   3.185321     3.1853e+00       1.0000e+00
505.0      0.26273        0.000   3.192866     3.1929e+00       1.0000e+00
510.0      0.26622        0.000   3.200542     3.2005e+00       1.0000e+00
515.0      0.26950        0.000   3.208194     3.2082e+00       1.0000e+00
520.0      0.27261        0.000   3.217039     3.2170e+00       1.0000e+00
525.0      0.27559        0.000   3.219196     3.2192e+00       1.0000e+00
530.0      0.27846        0.000   3.222999     3.2230e+00       1.0000e+00
535.0      0.28124        0.000   3.225895     3.2259e+00       1.0000e+00
540.0      0.28392        0.000   3.228116     3.2281e+00       1.0000e+00
545.0      0.28651        0.000   3.232498     3.2325e+00       1.0000e+00
550.0      0.28905        0.000   3.232997     3.2330e+00       1.0000e+00
555.0      0.29167        0.000   3.234778     3.2348e+00       1.0000e+00
560.0      0.29450        0.000   3.233339     3.2333e+00       1.0000e+00
565.0      0.29767        0.000   3.232144     3.2321e+00       1.0000e+00
570.0      0.30121        0.000   3.232911     3.2329e+00       1.0000e+00
575.0      0.30488        0.000   3.231956     3.2320e+00       1.0000e+00
580.0      0.30843        0.000   3.232552     3.2326e+00       1.0000e+00
585.0      0.31159        0.000   3.233139     3.2331e+00       1.0000e+00
590.0      0.31424        0.000   3.234316     3.2343e+00       1.0000e+00
595.0      0.31661        0.000   3.230152     3.2302e+00       1.0000e+00
600.0      0.31895        0.000   3.232540     3.2325e+00       1.0000e+00
605.0      0.32155        0.000   3.247780     3.2478e+00       1.0000e+00
610.0      0.32455        0.000   3.226065     3.2261e+00       1.0000e+00
615.0      0.32783        0.000   3.236288     3.2363e+00       1.0000e+00
620.0      0.33126        0.000   3.229656     3.2297e+00       1.0000e+00
625.0      0.33468        0.000   3.232927     3.2329e+00       1.0000e+00
620.0      0.33800        0.000   3.230000     3.2300e+00       1.0000e+00
635.0      0.34124        0.000   3.233280     3.2333e+00       1.0000e+00
640.0      0.34444        0.000   3.232451     3.2325e+00       1.0000e+00
645.0      0.34764        0.000   3.240212     3.2402e+00       1.0000e+00
650.0      0.35083        0.000   3.235892     3.2359e+00       1.0000e+00
655.0      0.35394        0.000   3.249063     3.2491e+00       1.0000e+00
660.0      0.35686        0.000   3.270815     3.2708e+00       1.0000e+00
665.0      0.35950        0.000   3.280000     3.2800e+00       1.0000e+00
670.0      0.36184        0.000   3.292208     3.2922e+00       1.0000e+00
675.0      0.36401        0.000   3.297615     3.2976e+00       1.0000e+00
680.0      0.36617        0.000   3.337854     3.3379e+00       1.0000e+00
685.0      0.36848        0.000   3.391033     3.3910e+00       1.0000e+00
690.0      0.37103        0.000   3.464416     3.4644e+00       1.0000e+00
695.0      0.37378        0.000   3.547861     3.5479e+00       1.0000e+00
700.0      0.37665        0.000   3.657247     3.6572e+00       1.0000e+00
705.0      0.37959        0.000   3.788430     3.7884e+00       1.0000e+00
710.0      0.38254        0.000   3.919625     3.9196e+00       1.0000e+00
715.0      0.38552        0.000   4.062778     4.0628e+00       1.0000e+00
720.0      0.38854        0.000   4.189896     4.1899e+00       1.0000e+00
725.0      0.39162        0.000   4.324294     4.3243e+00       1.0000e+00
730.0      0.39475        0.000   4.454913     4.4549e+00       1.0000e+00
735.0      0.39783        0.000   4.575568     4.5756e+00       1.0000e+00
740.0      0.40079        0.000   4.685067     4.6851e+00       1.0000e+00
745.0      0.40352        0.000   4.795409     4.7954e+00       1.0000e+00
750.0      0.40602        0.000   4.868197     4.8682e+00       1.0000e+00
755.0      0.40841        0.000   4.949913     4.9499e+00       1.0000e+00
760.0      0.41087        0.000   5.014871     5.0149e+00       1.0000e+00
765.0      0.41357        0.000   5.091217     5.0912e+00       1.0000e+00
770.0      0.41656        0.000   5.143954     5.1440e+00       1.0000e+00
775.0      0.41968        0.000   5.182546     5.1825e+00       1.0000e+00
780.0      0.42274        0.000   5.246312     5.2463e+00       1.0000e+00
785.0      0.42553        0.000   5.260000     5.2600e+00       1.0000e+00
790.0      0.42796        0.000   5.287258     5.2873e+00       1.0000e+00
795.0      0.43015        0.000   5.320563     5.3206e+00       1.0000e+00
800.0      0.43226        0.000   5.347689     5.3477e+00       1.0000e+00
805.0      0.43445        0.000   5.372138     5.3721e+00       1.0000e+00
810.0      0.43684        0.000   5.389349     5.3893e+00       1.0000e+00
815.0      0.43949        0.000   5.421084     5.4211e+00       1.0000e+00
820.0      0.44242        0.000   5.445766     5.4458e+00       1.0000e+00
825.0      0.44568        0.000   5.501065     5.5011e+00       1.0000e+00
830.0      0.44924        0.000   5.528876     5.5289e+00       1.0000e+00
835.0      0.45289        0.000   5.554904     5.5549e+00       1.0000e+00
840.0      0.45642        0.000   5.586594     5.5866e+00       1.0000e+00
845.0      0.45960        0.000   5.649783     5.6498e+00       1.0000e+00
850.0      0.46233        0.000   5.634733     5.6347e+00       1.0000e+00
855.0      0.46477        0.000   5.705842     5.7058e+00       1.0000e+00
860.0      0.46710        0.000   5.772800     5.7728e+00       1.0000e+00
865.0      0.46949        0.000   5.764851     5.7649e+00       1.0000e+00
870.0      0.47208        0.000   5.819798     5.8198e+00       1.0000e+00
875.0      0.47483        0.000   5.876004     5.8760e+00       1.0000e+00
880.0      0.47768        0.000   5.922092     5.9221e+00       1.0000e+00
885.0      0.48058        0.000   5.973272     5.9733e+00       1.0000e+00
890.0      0.48348        0.000   6.131181     6.1312e+00       1.0000e+00
895.0      0.48631        0.000   6.045228     6.0452e+00       1.0000e+00
900.0      0.48900        0.000   6.145848     6.1458e+00       1.0000e+00
905.0      0.49148        0.000   6.144007     6.1440e+00       1.0000e+00
910.0      0.49374        0.000   6.190222     6.1902e+00       1.0000e+00
915.0      0.49590        0.000   6.234302     6.2343e+00       1.0000e+00
920.0      0.49811        0.000   6.313872     6.3139e+00       1.0000e+00
925.0      0.50050        0.000   6.353343     6.3533e+00       1.0000e+00
930.0      0.50317        0.000   6.395553     6.3956e+00       1.0000e+00
935.0      0.50612        0.000   6.470312     6.4703e+00       1.0000e+00
940.0      0.50930        0.000   6.559068     6.5591e+00       1.0000e+00
945.0      0.51270        0.000   6.592855     6.5929e+00       1.0000e+00
950.0      0.51614        0.000   6.651261     6.6513e+00       1.0000e+00
955.0      0.51918        0.000   6.709667     6.7097e+00       1.0000e+00
960.0      0.52130        0.000   6.740429     6.7404e+00       1.0000e+00
965.0      0.52200        0.000   6.787783     6.7878e+00       1.0000e+00
970.0      0.52105        0.000   6.829988     6.8300e+00       1.0000e+00
975.0      0.51882        0.000   6.894670     6.8947e+00       1.0000e+00
980.0      0.51575        0.000   6.961665     6.9617e+00       1.0000e+00
985.0      0.51230        0.000   7.024646     7.0246e+00       1.0000e+00
990.0      0.50860        0.000   7.068854     7.0689e+00       1.0000e+00
995.0      0.50411        0.000   7.174718     7.1747e+00       1.0000e+00
1000.0      0.49820        0.000   7.246711     7.2467e+00       1.0000e+00
1005.0      0.49021        0.000   7.286021     7.2860e+00       1.0000e+00
1010.0      0.47976        0.000   7.405031     7.4050e+00       1.0000e+00
1015.0      0.46701        0.000   7.503172     7.5032e+00       1.0000e+00
1020.0      0.45219        0.000   7.604774     7.6048e+00       1.0000e+00
1025.0      0.43553        0.000   7.708273     7.7083e+00       1.0000e+00
1030.0      0.41713        0.000   7.826715     7.8267e+00       1.0000e+00
1035.0      0.39673        0.000   8.022001     8.0220e+00       1.0000e+00
1040.0      0.37402        0.000   8.191428     8.1914e+00       1.0000e+00
1045.0      0.34872        0.000   8.403852     8.4039e+00       1.0000e+00
1050.0      0.32106        0.000   8.630809     8.6308e+00       1.0000e+00
1055.0      0.29251        0.000   8.938370     8.9384e+00       1.0000e+00
1060.0      0.26467        0.000   9.163315     9.1633e+00       1.0000e+00
1065.0      0.23916        0.000   9.373121     9.3731e+00       1.0000e+00
1070.0      0.21695        0.000   9.553736     9.5537e+00       1.0000e+00
1075.0      0.19761        0.000   9.758443     9.7584e+00       1.0000e+00
1080.0      0.18050        0.000   9.959560     9.9596e+00       1.0000e+00
1085.0      0.16500        0.000   10.268397     1.0268e+01       1.0000e+00
1090.0      0.15062        0.000   10.265604     1.0266e+01       1.0000e+00
1095.0      0.13719        0.000   10.372674     1.0373e+01       1.0000e+00
1100.0      0.12458        0.000   10.313974     1.0314e+01       1.0000e+00
1105.0      0.11267        0.000   10.000000     1.0000e+01       1.0000e+00
1110.0      0.10136        0.000   10.000000     1.0000e+01       1.0000e+00
1115.0      0.09067        0.000   10.000000     1.0000e+01       1.0000e+00
1120.0      0.08060        0.000   10.000000     1.0000e+01       1.0000e+00
1125.0      0.07117        0.000   10.000000     1.0000e+01       1.0000e+00
1130.0      0.06238        0.000   10.000000     1.0000e+01       1.0000e+00
